Longitude,Latitude,datetime,UHI Index
-73.91903667,40.81429167,24-07-2021 15:53,1.034616333
-73.91897833,40.814365,24-07-2021 15:53,1.028125188
-73.91892667,40.81443333,24-07-2021 15:53,1.028125188
-73.918875,40.8145,24-07-2021 15:53,1.025961473
-73.91882667,40.81456,24-07-2021 15:53,1.025961473
-73.918785,40.81460167,24-07-2021 15:53,1.023797758
-73.91875,40.81463333,24-07-2021 15:53,1.023797758
-73.91872333,40.81465333,24-07-2021 15:53,1.026081679
-73.91865667,40.81467667,24-07-2021 15:53,1.023917965
-73.91863167,40.81467,24-07-2021 15:53,1.023917965
-73.91854833,40.81467667,24-07-2021 15:53,1.023917965
-73.91848333,40.81469667,24-07-2021 15:53,1.026081679
-73.91843333,40.814725,24-07-2021 15:53,1.026081679
-73.918335,40.814795,24-07-2021 15:53,1.026081679
-73.918295,40.81482333,24-07-2021 15:53,1.026081679
-73.91827,40.814845,24-07-2021 15:53,1.023917965
-73.91824667,40.81486333,24-07-2021 15:53,1.023917965
-73.91813167,40.81500167,24-07-2021 15:54,1.034736539
-73.91809667,40.81502667,24-07-2021 15:54,1.034736539
-73.91806,40.81504833,24-07-2021 15:54,1.039063969
-73.918015,40.81507333,24-07-2021 15:54,1.039063969
-73.91796833,40.8151,24-07-2021 15:54,1.039063969
-73.91791833,40.81512833,24-07-2021 15:54,1.039063969
-73.91786667,40.81514333,24-07-2021 15:54,1.039063969
-73.91781833,40.81515,24-07-2021 15:54,1.039063969
-73.91776167,40.815135,24-07-2021 15:54,1.045555113
-73.91769833,40.81510833,24-07-2021 15:54,1.043391399
-73.91722333,40.81541333,24-07-2021 15:54,1.045555113
-73.91716167,40.81544833,24-07-2021 15:54,1.039063969
-73.91711333,40.81548167,24-07-2021 15:54,1.039063969
-73.91707667,40.81552,24-07-2021 15:54,1.039063969
-73.91699833,40.81556667,24-07-2021 15:54,1.039063969
-73.916965,40.81557667,24-07-2021 15:54,1.039063969
-73.91692833,40.81559333,24-07-2021 15:54,1.039063969
-73.91689333,40.815615,24-07-2021 15:54,1.039063969
-73.91685667,40.81563333,24-07-2021 15:54,1.039063969
-73.91681667,40.81567,24-07-2021 15:54,1.036900254
-73.91679167,40.815715,24-07-2021 15:54,1.036900254
-73.91670167,40.81575,24-07-2021 15:54,1.036900254
-73.91662167,40.81579167,24-07-2021 15:54,1.036900254
-73.91653333,40.81583,24-07-2021 15:54,1.032572824
-73.91644667,40.81586,24-07-2021 15:54,1.032572824
-73.91638833,40.815895,24-07-2021 15:54,1.026081679
-73.91634167,40.81592833,24-07-2021 15:54,1.026081679
-73.91630667,40.81596,24-07-2021 15:54,1.028245394
-73.91627667,40.81598167,24-07-2021 15:54,1.028245394
-73.91622667,40.81604167,24-07-2021 15:54,1.024038171
-73.91618833,40.81608167,24-07-2021 15:54,1.026201886
-73.91612667,40.81612,24-07-2021 15:54,1.026201886
-73.91607333,40.81615333,24-07-2021 15:55,1.024038171
-73.91602,40.81618167,24-07-2021 15:55,1.024038171
-73.91598333,40.81620167,24-07-2021 15:55,1.026201886
-73.915955,40.81621833,24-07-2021 15:55,1.026201886
-73.91588167,40.81631833,24-07-2021 15:55,1.024038171
-73.91585167,40.81636167,24-07-2021 15:55,1.024038171
-73.915815,40.816395,24-07-2021 15:55,1.024038171
-73.915795,40.81643333,24-07-2021 15:55,1.021874456
-73.915765,40.81646333,24-07-2021 15:55,1.021874456
-73.91471667,40.81553167,24-07-2021 15:57,1.022114869
-73.91479167,40.81541333,24-07-2021 15:57,1.019951154
-73.91482167,40.81535833,24-07-2021 15:57,1.019951154
-73.91498333,40.81503667,24-07-2021 15:57,1.019951154
-73.91501167,40.81496167,24-07-2021 15:58,1.019951154
-73.9152,40.81463833,24-07-2021 15:58,1.019951154
-73.915225,40.81460667,24-07-2021 15:58,1.019951154
-73.918135,40.80948667,24-07-2021 15:59,1.02007136
-73.91817333,40.80941833,24-07-2021 15:59,1.02007136
-73.91820667,40.809355,24-07-2021 15:59,1.02439879
-73.918235,40.80929833,24-07-2021 15:59,1.02439879
-73.91826167,40.80924333,24-07-2021 15:59,1.022235075
-73.91829667,40.809195,24-07-2021 15:59,1.022235075
-73.91833,40.809145,24-07-2021 15:59,1.02439879
-73.91836833,40.809095,24-07-2021 15:59,1.02439879
-73.9184,40.80904667,24-07-2021 15:59,1.02439879
-73.91843,40.80899833,24-07-2021 15:59,1.02439879
-73.91847667,40.80890167,24-07-2021 15:59,1.02439879
-73.91849833,40.80885833,24-07-2021 15:59,1.02439879
-73.91851333,40.80881833,24-07-2021 15:59,1.026562505
-73.91853167,40.80878333,24-07-2021 15:59,1.026682711
-73.99168167,40.77027667,24-07-2021 15:12,1.024038171
-73.99166667,40.77022667,24-07-2021 15:12,1.024038171
-73.99162667,40.77018333,24-07-2021 15:12,1.024038171
-73.99154333,40.77016833,24-07-2021 15:12,1.024038171
-73.99146667,40.77015333,24-07-2021 15:12,1.019710741
-73.991395,40.77014667,24-07-2021 15:12,1.019710741
-73.991315,40.77014167,24-07-2021 15:13,1.021874456
-73.991245,40.77013,24-07-2021 15:13,1.021874456
-73.99117,40.77010667,24-07-2021 15:13,1.021874456
-73.99107333,40.770085,24-07-2021 15:13,1.021874456
-73.99097333,40.77005833,24-07-2021 15:13,1.021874456
-73.99087167,40.77003167,24-07-2021 15:13,1.021874456
-73.99076167,40.77000333,24-07-2021 15:13,1.019710741
-73.99065833,40.76997167,24-07-2021 15:13,1.019710741
-73.99055333,40.769945,24-07-2021 15:13,1.019710741
-73.99045333,40.76991167,24-07-2021 15:13,1.019710741
-73.92664167,40.82812667,24-07-2021 15:05,1.019951154
-73.92668667,40.828145,24-07-2021 15:05,1.019951154
-73.9269,40.82824,24-07-2021 15:05,1.019951154
-73.92698167,40.828275,24-07-2021 15:05,1.019951154
-73.93101667,40.82972167,24-07-2021 15:06,1.02007136
-73.93112833,40.829675,24-07-2021 15:07,1.022235075
-73.93129,40.82966833,24-07-2021 15:07,1.035217365
-73.93133,40.82969667,24-07-2021 15:07,1.035217365
-73.93140667,40.82977167,24-07-2021 15:07,1.03305365
-73.93144,40.829825,24-07-2021 15:07,1.030889935
-73.93145,40.829845,24-07-2021 15:07,1.030889935
-73.93149,40.82991833,24-07-2021 15:07,1.026682711
-73.93151333,40.82996,24-07-2021 15:07,1.026682711
-73.93154333,40.83001333,24-07-2021 15:08,1.024518996
-73.931575,40.83007667,24-07-2021 15:08,1.024518996
-73.93160167,40.83014,24-07-2021 15:08,1.026682711
-73.93163167,40.83020333,24-07-2021 15:08,1.026682711
-73.93166167,40.83027167,24-07-2021 15:08,1.024518996
-73.93168667,40.830345,24-07-2021 15:08,1.024518996
-73.93103333,40.83317833,24-07-2021 15:09,1.044112637
-73.93101167,40.83321167,24-07-2021 15:09,1.044112637
-73.930995,40.83324333,24-07-2021 15:09,1.041948922
-73.93098,40.83327167,24-07-2021 15:09,1.041948922
-73.93097167,40.83329833,24-07-2021 15:09,1.044112637
-73.93095667,40.83333167,24-07-2021 15:10,1.044112637
-73.93093833,40.833365,24-07-2021 15:10,1.041948922
-73.93092,40.83340167,24-07-2021 15:10,1.041948922
-73.93090333,40.833445,24-07-2021 15:10,1.037621492
-73.93088833,40.83348833,24-07-2021 15:10,1.037621492
-73.930875,40.833535,24-07-2021 15:10,1.039785207
-73.930855,40.83358,24-07-2021 15:10,1.039785207
-73.93083,40.83362667,24-07-2021 15:10,1.035457777
-73.9308,40.83367667,24-07-2021 15:10,1.035457777
-73.93077333,40.83372333,24-07-2021 15:10,1.037621492
-73.93075,40.83376667,24-07-2021 15:10,1.037621492
-73.93073167,40.83380833,24-07-2021 15:10,1.033294062
-73.93070833,40.83385167,24-07-2021 15:10,1.033294062
-73.93068667,40.83389,24-07-2021 15:10,1.033294062
-73.93066,40.83392167,24-07-2021 15:10,1.033294062
-73.930635,40.83395167,24-07-2021 15:10,1.028966633
-73.93062167,40.83398667,24-07-2021 15:10,1.028966633
-73.93061333,40.83403,24-07-2021 15:10,1.026802918
-73.9306,40.83406833,24-07-2021 15:10,1.026802918
-73.93058,40.83411167,24-07-2021 15:10,1.031130348
-73.93050667,40.83420333,24-07-2021 15:10,1.031130348
-73.930475,40.83425167,24-07-2021 15:10,1.026802918
-73.93044333,40.83429833,24-07-2021 15:10,1.026802918
-73.930375,40.83444167,24-07-2021 15:10,1.020311773
-73.930355,40.83448,24-07-2021 15:10,1.020311773
-73.93032833,40.83451333,24-07-2021 15:10,1.022475488
-73.93030167,40.83454167,24-07-2021 15:10,1.022475488
-73.93028167,40.83455,24-07-2021 15:10,1.020311773
-73.93025833,40.83456333,24-07-2021 15:10,1.020311773
-73.93000667,40.83459333,24-07-2021 15:10,1.020431979
-73.92992167,40.834605,24-07-2021 15:10,1.020431979
-73.92587,40.83911833,24-07-2021 15:17,1.018869297
-73.92584333,40.83917833,24-07-2021 15:17,1.018869297
-73.925725,40.83934667,24-07-2021 15:17,1.018869297
-73.92569833,40.83940333,24-07-2021 15:17,1.018869297
-73.92531,40.840055,24-07-2021 15:17,1.018869297
-73.91069167,40.83915667,24-07-2021 15:39,1.020792599
-73.91335,40.83872,24-07-2021 15:40,1.023196726
-73.91339,40.83873833,24-07-2021 15:40,1.018869297
-73.91343,40.838755,24-07-2021 15:40,1.018869297
-73.913465,40.83876667,24-07-2021 15:40,1.018869297
-73.91349667,40.83877667,24-07-2021 15:41,1.018869297
-73.91353667,40.83879167,24-07-2021 15:41,1.023196726
-73.91353667,40.83879167,24-07-2021 15:41,1.023196726
-73.91364667,40.838835,24-07-2021 15:41,1.018869297
-73.91371167,40.83885833,24-07-2021 15:41,1.018869297
-73.913785,40.83888333,24-07-2021 15:41,1.023196726
-73.91385333,40.838905,24-07-2021 15:41,1.023196726
-73.915245,40.83936,24-07-2021 15:41,1.021033011
-73.91532333,40.83937833,24-07-2021 15:41,1.018869297
-73.91536,40.839385,24-07-2021 15:41,1.018869297
-73.91540667,40.83939167,24-07-2021 15:41,1.023196726
-73.91545333,40.83940833,24-07-2021 15:41,1.023196726
-73.91545333,40.83940833,24-07-2021 15:41,1.021033011
-73.91553333,40.83943667,24-07-2021 15:41,1.021033011
-73.91555833,40.83944667,24-07-2021 15:41,1.025360441
-73.91558333,40.83946,24-07-2021 15:41,1.025360441
-73.915605,40.83947,24-07-2021 15:41,1.023196726
-73.915715,40.83952167,24-07-2021 15:41,1.027524156
-73.9165,40.83893833,24-07-2021 15:43,1.034255713
-73.91653833,40.83888833,24-07-2021 15:43,1.034255713
-73.91657333,40.83883,24-07-2021 15:43,1.032091999
-73.916615,40.83876833,24-07-2021 15:43,1.032091999
-73.91665167,40.838705,24-07-2021 15:43,1.029928284
-73.916895,40.83842,24-07-2021 15:43,1.021273424
-73.916935,40.83837333,24-07-2021 15:43,1.021273424
-73.916975,40.83831833,24-07-2021 15:43,1.019109709
-73.91701833,40.83826,24-07-2021 15:43,1.019109709
-73.91710333,40.83816333,24-07-2021 15:43,1.019109709
-73.917135,40.83812833,24-07-2021 15:43,1.019109709
-73.91715833,40.8381,24-07-2021 15:43,1.019109709
-73.91334333,40.83107333,24-07-2021 15:56,1.024639203
-73.91336333,40.831035,24-07-2021 15:56,1.022475488
-73.913385,40.83101333,24-07-2021 15:56,1.022475488
-73.913445,40.830895,24-07-2021 15:57,1.022475488
-73.91346333,40.83085833,24-07-2021 15:57,1.022475488
-73.91348833,40.83082,24-07-2021 15:57,1.024639203
-73.91351667,40.83077833,24-07-2021 15:57,1.024639203
-73.91355,40.83073,24-07-2021 15:57,1.022475488
-73.91359833,40.83068,24-07-2021 15:57,1.022475488
-73.91380333,40.83036333,24-07-2021 15:57,1.020311773
-73.91383,40.83031,24-07-2021 15:57,1.020311773
-73.92854167,40.80894167,24-07-2021 15:12,1.04267016
-73.92848667,40.80900167,24-07-2021 15:12,1.04267016
-73.92836333,40.80914833,24-07-2021 15:12,1.036179016
-73.92830167,40.80923,24-07-2021 15:12,1.031851586
-73.92824,40.80931167,24-07-2021 15:12,1.031851586
-73.928175,40.809395,24-07-2021 15:12,1.029687871
-73.92805167,40.80956167,24-07-2021 15:12,1.029687871
-73.92799,40.80965,24-07-2021 15:12,1.023196726
-73.92792667,40.80973833,24-07-2021 15:12,1.023196726
-73.92785833,40.80984,24-07-2021 15:12,1.018869297
-73.92779,40.80993167,24-07-2021 15:12,1.018869297
-73.927665,40.81009,24-07-2021 15:12,1.021033011
-73.92724333,40.81074333,24-07-2021 15:13,1.025360441
-73.92722667,40.81076667,24-07-2021 15:13,1.025360441
-73.92719,40.81080833,24-07-2021 15:13,1.023196726
-73.92708833,40.81091667,24-07-2021 15:13,1.023196726
-73.92701833,40.810985,24-07-2021 15:13,1.023196726
-73.92694333,40.81104667,24-07-2021 15:13,1.023196726
-73.92659,40.81126833,24-07-2021 15:13,1.018989503
-73.92651667,40.81131667,24-07-2021 15:13,1.018989503
-73.92566667,40.8118,24-07-2021 15:13,1.018989503
-73.925565,40.81185167,24-07-2021 15:13,1.018989503
-73.92472167,40.81227833,24-07-2021 15:14,1.018989503
-73.92449667,40.81239667,24-07-2021 15:14,1.018989503
-73.92438333,40.81245833,24-07-2021 15:14,1.018989503
-73.924275,40.81252,24-07-2021 15:14,1.021153218
-73.92417,40.81257667,24-07-2021 15:14,1.021153218
-73.92406167,40.81263167,24-07-2021 15:14,1.018989503
-73.923955,40.81268667,24-07-2021 15:14,1.018989503
-73.92385167,40.81274,24-07-2021 15:14,1.018989503
-73.92376333,40.81277,24-07-2021 15:14,1.018989503
-73.921955,40.81371667,24-07-2021 15:15,1.019109709
-73.92186333,40.813765,24-07-2021 15:15,1.019109709
-73.921775,40.81381167,24-07-2021 15:15,1.019109709
-73.92168667,40.81385667,24-07-2021 15:15,1.021273424
-73.92159833,40.81390167,24-07-2021 15:15,1.021273424
-73.92151167,40.813945,24-07-2021 15:15,1.019109709
-73.921425,40.813985,24-07-2021 15:15,1.019109709
-73.92115167,40.81411,24-07-2021 15:15,1.021273424
-73.92106,40.81415833,24-07-2021 15:15,1.021273424
-73.92097,40.81421333,24-07-2021 15:15,1.019109709
-73.92088,40.814265,24-07-2021 15:15,1.019109709
-73.92070833,40.81436,24-07-2021 15:15,1.021273424
-73.92062833,40.814405,24-07-2021 15:15,1.021273424
-73.92055167,40.81444333,24-07-2021 15:15,1.021273424
-73.920485,40.81447667,24-07-2021 15:15,1.021273424
-73.92026167,40.81458,24-07-2021 15:15,1.019109709
-73.92016167,40.814625,24-07-2021 15:15,1.019109709
-73.92006,40.814675,24-07-2021 15:15,1.019109709
-73.91996,40.81472667,24-07-2021 15:15,1.019109709
-73.91955167,40.81494167,24-07-2021 15:16,1.019109709
-73.91949833,40.81497,24-07-2021 15:16,1.019109709
-73.91945833,40.81499,24-07-2021 15:16,1.019109709
-73.91942333,40.81500833,24-07-2021 15:16,1.019109709
-73.91930667,40.81507,24-07-2021 15:16,1.032212205
-73.91927167,40.81509,24-07-2021 15:16,1.032212205
-73.91919667,40.81512667,24-07-2021 15:16,1.03004849
-73.91915667,40.81514,24-07-2021 15:16,1.03004849
-73.91911333,40.81515167,24-07-2021 15:16,1.027884775
-73.91906333,40.81517333,24-07-2021 15:16,1.027884775
-73.91900833,40.81520167,24-07-2021 15:16,1.02572106
-73.91888667,40.81525333,24-07-2021 15:16,1.02572106
-73.918825,40.81528333,24-07-2021 15:16,1.02572106
-73.91875667,40.815315,24-07-2021 15:17,1.02572106
-73.91869333,40.81535,24-07-2021 15:17,1.02572106
-73.91863167,40.81538167,24-07-2021 15:17,1.023557345
-73.91856833,40.81542833,24-07-2021 15:17,1.023557345
-73.9185,40.81547167,24-07-2021 15:17,1.02572106
-73.91843667,40.81550333,24-07-2021 15:17,1.02572106
-73.91837333,40.81554167,24-07-2021 15:17,1.023557345
-73.91832333,40.81557833,24-07-2021 15:17,1.023557345
-73.91829333,40.81559833,24-07-2021 15:17,1.023557345
-73.91801167,40.815775,24-07-2021 15:19,1.036780047
-73.91796,40.81580833,24-07-2021 15:19,1.036780047
-73.91790167,40.81584167,24-07-2021 15:19,1.032452618
-73.917775,40.81591333,24-07-2021 15:19,1.032452618
-73.91772,40.81594167,24-07-2021 15:19,1.032452618
-73.91768,40.815965,24-07-2021 15:19,1.032452618
-73.917645,40.815985,24-07-2021 15:19,1.032452618
-73.91760667,40.81600833,24-07-2021 15:19,1.032452618
-73.91752167,40.81605833,24-07-2021 15:19,1.030288903
-73.917475,40.816085,24-07-2021 15:19,1.032452618
-73.91743333,40.81610667,24-07-2021 15:19,1.032452618
-73.91740333,40.816125,24-07-2021 15:19,1.032452618
-73.91737833,40.81614,24-07-2021 15:19,1.032452618
-73.91735333,40.81615667,24-07-2021 15:19,1.034616333
-73.91732167,40.81617333,24-07-2021 15:19,1.034616333
-73.91728,40.81619667,24-07-2021 15:19,1.034616333
-73.91722833,40.81622667,24-07-2021 15:19,1.034616333
-73.91716833,40.81626167,24-07-2021 15:19,1.032452618
-73.9171,40.81629667,24-07-2021 15:19,1.032452618
-73.91703167,40.81633667,24-07-2021 15:19,1.032452618
-73.91696333,40.81637667,24-07-2021 15:19,1.032452618
-73.916895,40.81640667,24-07-2021 15:19,1.036780047
-73.916765,40.81649833,24-07-2021 15:19,1.036780047
-73.91670667,40.81654333,24-07-2021 15:19,1.034616333
-73.91665,40.816585,24-07-2021 15:20,1.034616333
-73.9166,40.816625,24-07-2021 15:20,1.036780047
-73.9166,40.816625,24-07-2021 15:20,1.036780047
-73.91649167,40.81672,24-07-2021 15:20,1.034616333
-73.91646333,40.81674167,24-07-2021 15:20,1.034616333
-73.91644,40.81676167,24-07-2021 15:20,1.034616333
-73.91641667,40.81678333,24-07-2021 15:20,1.030288903
-73.91639167,40.81680667,24-07-2021 15:20,1.030288903
-73.916365,40.81682833,24-07-2021 15:20,1.030288903
-73.91634333,40.81685,24-07-2021 15:20,1.030288903
-73.91631667,40.816875,24-07-2021 15:20,1.032452618
-73.91628333,40.81690833,24-07-2021 15:20,1.032452618
-73.916235,40.81694833,24-07-2021 15:20,1.030288903
-73.91617667,40.81699333,24-07-2021 15:20,1.030288903
-73.916115,40.81704167,24-07-2021 15:20,1.032452618
-73.91605833,40.817085,24-07-2021 15:20,1.032452618
-73.916005,40.81712167,24-07-2021 15:20,1.032572824
-73.91591667,40.817195,24-07-2021 15:20,1.032572824
-73.91588,40.81723,24-07-2021 15:20,1.032572824
-73.91585167,40.81726667,24-07-2021 15:20,1.032572824
-73.91579833,40.81732667,24-07-2021 15:20,1.030409109
-73.91573,40.81742833,24-07-2021 15:21,1.039063969
-73.91569,40.81748667,24-07-2021 15:21,1.039063969
-73.915645,40.81753167,24-07-2021 15:21,1.032572824
-73.9156,40.81756833,24-07-2021 15:21,1.032572824
-73.915465,40.81765667,24-07-2021 15:21,1.036900254
-73.91539833,40.817695,24-07-2021 15:21,1.036900254
-73.91529,40.81778,24-07-2021 15:21,1.032572824
-73.91523833,40.81782,24-07-2021 15:21,1.034736539
-73.915195,40.81785667,24-07-2021 15:21,1.034736539
-73.91515167,40.81788833,24-07-2021 15:21,1.041227684
-73.91511,40.81792167,24-07-2021 15:21,1.041227684
-73.915055,40.817965,24-07-2021 15:21,1.036900254
-73.91500167,40.81801667,24-07-2021 15:21,1.036900254
-73.91495333,40.818065,24-07-2021 15:21,1.034736539
-73.91491,40.818105,24-07-2021 15:21,1.034856745
-73.91486667,40.818125,24-07-2021 15:21,1.03702046
-73.91469833,40.81827167,24-07-2021 15:21,1.04567532
-73.91464667,40.81832,24-07-2021 15:21,1.04567532
-73.91459667,40.81836333,24-07-2021 15:21,1.04567532
-73.91447167,40.81844833,24-07-2021 15:22,1.026201886
-73.91443167,40.81848333,24-07-2021 15:22,1.026201886
-73.91439167,40.81852333,24-07-2021 15:22,1.024038171
-73.91435,40.81856167,24-07-2021 15:22,1.024038171
-73.91431167,40.81859667,24-07-2021 15:22,1.021874456
-73.91427833,40.81862667,24-07-2021 15:22,1.021874456
-73.91425167,40.81865833,24-07-2021 15:22,1.019710741
-73.914215,40.818695,24-07-2021 15:22,1.019710741
-73.91416667,40.818745,24-07-2021 15:22,1.019710741
-73.914115,40.81880333,24-07-2021 15:22,1.019710741
-73.913395,40.81960833,24-07-2021 15:22,1.019710741
-73.91333167,40.81968667,24-07-2021 15:22,1.019710741
-73.91327,40.81976667,24-07-2021 15:22,1.019710741
-73.91320833,40.81984667,24-07-2021 15:22,1.019710741
-73.91314833,40.81992833,24-07-2021 15:22,1.021874456
-73.91308667,40.82001,24-07-2021 15:22,1.021874456
-73.91303333,40.82009,24-07-2021 15:22,1.026322092
-73.91298167,40.82017167,24-07-2021 15:22,1.026322092
-73.912935,40.82025333,24-07-2021 15:22,1.021994662
-73.91283333,40.82041667,24-07-2021 15:22,1.021994662
-73.91277833,40.8205,24-07-2021 15:23,1.026322092
-73.91272667,40.820585,24-07-2021 15:23,1.026322092
-73.912615,40.82074833,24-07-2021 15:23,1.021994662
-73.91255833,40.82083,24-07-2021 15:23,1.024158377
-73.91249833,40.82091333,24-07-2021 15:23,1.024158377
-73.91244333,40.820995,24-07-2021 15:23,1.026322092
-73.91239,40.821075,24-07-2021 15:23,1.026322092
-73.91234167,40.82115167,24-07-2021 15:23,1.024158377
-73.91229333,40.82122833,24-07-2021 15:23,1.024158377
-73.91224167,40.82131,24-07-2021 15:23,1.026322092
-73.91218833,40.82139,24-07-2021 15:23,1.026322092
-73.91213167,40.82146833,24-07-2021 15:23,1.024158377
-73.91207833,40.82154667,24-07-2021 15:23,1.024158377
-73.91203,40.82161833,24-07-2021 15:23,1.021994662
-73.91199167,40.821675,24-07-2021 15:23,1.021994662
-73.91196,40.82172,24-07-2021 15:23,1.024158377
-73.91193333,40.82175667,24-07-2021 15:23,1.024158377
-73.911925,40.82177833,24-07-2021 15:23,1.026322092
-73.911795,40.82189333,24-07-2021 15:23,1.026322092
-73.91178833,40.82189667,24-07-2021 15:23,1.041468096
